"filename", "language", "C#", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\DataPersistenceManager.cs", "C#", 63, 5, 14, 82
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\Data\GameData.cs", "C#", 50, 3, 4, 57
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\FileDataHandler.cs", "C#", 60, 3, 8, 71
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\IDataPersistence.cs", "C#", 8, 9, 3, 20
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\SerializableTypes\SerializableDictionary.cs", "C#", 31, 0, 5, 36
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Input\InputActions.cs", "C#", 1199, 16, 16, 1231
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossBehaviour.cs", "C#", 50, 0, 12, 62
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossCombatBehaviour.cs", "C#", 93, 23, 23, 139
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossHealthBarBehaviour.cs", "C#", 63, 1, 8, 72
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossInfos.cs", "C#", 117, 37, 16, 170
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossSpawner.cs", "C#", 69, 10, 12, 91
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\Spikes\SpikeBehaviour.cs", "C#", 20, 0, 4, 24
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Camera\ChangeTargetBehaviour.cs", "C#", 35, 0, 5, 40
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Companion\CompanionBehaviour.cs", "C#", 34, 12, 5, 51
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyBehaviour.cs", "C#", 46, 3, 10, 59
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyCombatBehaviour.cs", "C#", 87, 24, 20, 131
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyInfos.cs", "C#", 108, 44, 14, 166
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemySpawner.cs", "C#", 40, 13, 9, 62
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\PlayerInRangeCheck.cs", "C#", 21, 0, 3, 24
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\BenchBehaviour.cs", "C#", 28, 0, 6, 34
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineBehaviour.cs", "C#", 41, 15, 8, 64
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineManager.cs", "C#", 95, 43, 16, 154
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Items\ItemBehaviour.cs", "C#", 24, 0, 5, 29
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Items\ItemScriptableObject.cs", "C#", 9, 0, 1, 10
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Light\PulsingLightBehaviour.cs", "C#", 49, 3, 9, 61
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MainMenu\MenuButtons.cs", "C#", 93, 4, 9, 106
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MainMenu\SaveFileSlot.cs", "C#", 7, 0, 2, 9
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MoonFragments\DroppedMoonlightBehaviour.cs", "C#", 15, 0, 3, 18
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MoonFragments\FirstMoonFragmentBehaviour.cs", "C#", 23, 13, 10, 46
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MoonFragments\MoonFragmentBehaviour.cs", "C#", 32, 13, 5, 50
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerCombat.cs", "C#", 176, 60, 30, 266
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerController.cs", "C#", 284, 86, 77, 447
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerDefeatedBosses.cs", "C#", 23, 0, 4, 27
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerDropMoonlight.cs", "C#", 33, 0, 6, 39
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerHealthflaskBehaviour.cs", "C#", 46, 26, 9, 81
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerInfos.cs", "C#", 172, 55, 29, 256
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerInteract.cs", "C#", 31, 10, 9, 50
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerLevelBehaviour.cs", "C#", 126, 64, 23, 213
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerMeleeWeaponBehaviour.cs", "C#", 86, 38, 17, 141
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerSittingBehaviour.cs", "C#", 60, 22, 10, 92
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\TakeDamageBehaviour.cs", "C#", 31, 12, 5, 48
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Dialogue\ButtonBehaviour.cs", "C#", 22, 0, 7, 29
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Dialogue\DialogueManager.cs", "C#", 101, 3, 18, 122
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Dialogue\NPCDialogueBehaviour.cs", "C#", 39, 2, 10, 51
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\EnemyHealthbars\EnemyHealthbarBehaviour.cs", "C#", 24, 0, 8, 32
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Inventory\InventoryManager.cs", "C#", 30, 0, 5, 35
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Inventory\InventorySlot.cs", "C#", 41, 2, 9, 52
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Levelling\LevelUpManager.cs", "C#", 117, 18, 9, 144
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Levelling\LevelUpSlot.cs", "C#", 38, 0, 10, 48
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\PlayerBars\DisplayHeldMoonfragments.cs", "C#", 13, 3, 3, 19
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\PlayerBars\DisplayHeldMoonlight.cs", "C#", 13, 3, 3, 19
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\PlayerBars\DisplayMoonwaterAmount.cs", "C#", 13, 0, 3, 16
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\PlayerBars\StatBarBehaviour.cs", "C#", 88, 1, 9, 98
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Shrines\ShrineMenuBehaviour.cs", "C#", 47, 18, 10, 75
"Total", "-", 4264, 717, 588, 5569
