Date : 2022-11-11 13:08:01
Directory : d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts
Total : 321 files,  -36928 codes, -3308 comments, -7331 blanks, all -47567 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| ..\..\Wwise\API\Runtime\Generated                                                                                            |         96 |    -11,006 |       -888 |     -2,009 |    -13,903 |
| ..\..\Wwise\API\Runtime\Generated\Common                                                                                     |         84 |     -3,795 |       -756 |     -1,081 |     -5,632 |
| ..\..\Wwise\API\Runtime\Generated\Mac                                                                                        |          6 |     -3,594 |        -66 |       -461 |     -4,121 |
| ..\..\Wwise\API\Runtime\Generated\Windows                                                                                    |          6 |     -3,617 |        -66 |       -467 |     -4,150 |
| ..\..\Wwise\API\Runtime\Handwritten                                                                                          |         40 |     -6,912 |     -1,112 |     -1,525 |     -9,549 |
| ..\..\Wwise\API\Runtime\Handwritten\Common                                                                                   |         29 |     -5,107 |       -394 |     -1,265 |     -6,766 |
| ..\..\Wwise\API\Runtime\Handwritten\Common\Arrays                                                                            |         14 |       -563 |        -81 |       -116 |       -760 |
| ..\..\Wwise\API\Runtime\Handwritten\Mac                                                                                      |          3 |        -34 |         -5 |         -3 |        -42 |
| ..\..\Wwise\API\Runtime\Handwritten\WAAPI                                                                                    |          5 |     -1,707 |       -708 |       -246 |     -2,661 |
| ..\..\Wwise\API\Runtime\Handwritten\Windows                                                                                  |          3 |        -64 |         -5 |        -11 |        -80 |
| ..\..\Wwise\API\Runtime\WwiseTypes                                                                                           |         24 |     -1,202 |       -165 |       -237 |     -1,604 |
| ..\..\Wwise\API\Runtime\WwiseTypes\WwiseObjects                                                                              |         12 |       -452 |       -100 |       -108 |       -660 |
| ..\..\Wwise\API\Runtime\WwiseTypes\WwiseTypes                                                                                |         12 |       -750 |        -65 |       -129 |       -944 |
| ..\..\Wwise\MonoBehaviour                                                                                                    |         75 |     -6,892 |       -713 |     -1,475 |     -9,080 |
| ..\..\Wwise\MonoBehaviour\Editor                                                                                             |         25 |     -2,532 |       -205 |       -547 |     -3,284 |
| ..\..\Wwise\MonoBehaviour\Editor\EditorPlatformHelpers                                                                       |          2 |        -24 |          0 |          0 |        -24 |
| ..\..\Wwise\MonoBehaviour\Editor\EditorPlatformHelpers\Mac                                                                   |          1 |        -11 |          0 |          0 |        -11 |
| ..\..\Wwise\MonoBehaviour\Editor\EditorPlatformHelpers\Windows                                                               |          1 |        -13 |          0 |          0 |        -13 |
| ..\..\Wwise\MonoBehaviour\Editor\WwiseSetupWizard                                                                            |          6 |       -993 |        -74 |       -233 |     -1,300 |
| ..\..\Wwise\MonoBehaviour\Runtime                                                                                            |         46 |     -4,319 |       -508 |       -916 |     -5,743 |
| ..\..\Wwise\Timeline                                                                                                         |         16 |     -1,400 |       -125 |       -327 |     -1,852 |
| ..\..\Wwise\Timeline\Editor                                                                                                  |          3 |       -233 |        -17 |        -52 |       -302 |
| ..\..\Wwise\Timeline\Runtime                                                                                                 |          9 |     -1,124 |       -108 |       -263 |     -1,495 |
| ..\..\Wwise\Tools                                                                                                            |          1 |        -71 |         -5 |        -22 |        -98 |
| ..\DataPersistence                                                                                                           |          5 |       -199 |         -9 |        -33 |       -241 |
| ..\DataPersistence\Data                                                                                                      |          1 |        -38 |         -1 |         -4 |        -43 |
| ..\DataPersistence\SerializableTypes                                                                                         |          1 |        -31 |          0 |         -5 |        -36 |
| ..\Input                                                                                                                     |          1 |       -790 |        -14 |        -15 |       -819 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                                     | language  | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\DataPersistenceManager.cs                                            | C#        |        -62 |         -5 |        -14 |        -81 |
| d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\Data\GameData.cs                                                     | C#        |        -38 |         -1 |         -4 |        -43 |
| d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\FileDataHandler.cs                                                   | C#        |        -60 |         -3 |         -8 |        -71 |
| d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\IDataPersistence.cs                                                  | C#        |         -8 |          0 |         -2 |        -10 |
| d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\SerializableTypes\SerializableDictionary.cs                          | C#        |        -31 |          0 |         -5 |        -36 |
| d:\3. SAP\Moonweaver\Assets\+++Workdata\Input\InputActions.cs                                                                | C#        |       -790 |        -14 |        -15 |       -819 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\.sample.json                                     | JSON      |         -5 |          0 |          0 |         -5 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\CameraStacking\3D Skybox\Scripts\SkyboxCamera.cs | C#        |        -26 |         -2 |         -6 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\LensFlares\Scripts\ScreenSpacePlacement.cs       | C#        |        -23 |          0 |         -6 |        -29 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\RendererFeatures\KeepFrame\KeepFrameFeature.cs   | C#        |        -96 |         -6 |        -20 |       -122 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Scripts\AutoLoadPipelineAsset.cs    | C#        |        -51 |          0 |         -7 |        -58 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Scripts\FirstPersonController.cs    | C#        |        -71 |          0 |        -14 |        -85 |
| d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Shaders\3DText.shader               | ShaderLab |        -17 |          0 |         -2 |        -19 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                              | ShaderLab |       -109 |         -2 |        -33 |       -144 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                    | ShaderLab |       -112 |         -3 |        -31 |       -146 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                           | ShaderLab |       -109 |         -2 |        -33 |       -144 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                      | ShaderLab |       -243 |         -4 |        -71 |       -318 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                          | ShaderLab |       -241 |         -4 |        -66 |       -311 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                               | ShaderLab |       -188 |        -10 |        -50 |       -248 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                               | ShaderLab |       -183 |         -8 |        -50 |       -241 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                   | ShaderLab |        -82 |         -4 |        -21 |       -107 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                       | ShaderLab |       -183 |         -8 |        -50 |       -241 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                               | ShaderLab |       -103 |         -8 |        -28 |       -139 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                      | ShaderLab |       -122 |         -4 |        -33 |       -159 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                              | ShaderLab |       -243 |         -4 |        -71 |       -318 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                           | ShaderLab |        -97 |          0 |        -20 |       -117 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                 | HLSL      |        -63 |         -2 |        -20 |        -85 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                          | HLSL      |       -122 |         -2 |        -34 |       -158 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                      | HLSL      |        -62 |        -10 |        -14 |        -86 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                         | HLSL      |        -76 |         -7 |        -19 |       -102 |
| d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                               | JSON      |       -155 |          0 |         -2 |       -157 |
| d:\3. SAP\Moonweaver\Assets\WwiseSettings.xml                                                                                | XML       |        -18 |          0 |          0 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\CHANGELOG.md                                                                           | Markdown  |          0 |          0 |         -1 |         -1 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\AkPluginActivator.cs                                                            | C#        |       -958 |        -19 |       -159 |     -1,136 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Common\AkUnityBuilderBase.cs                                          | C#        |       -103 |         -3 |        -22 |       -128 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Common\AkUnityPluginInstallerBase.cs                                  | C#        |       -312 |        -11 |        -62 |       -385 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Common\AkWwiseIdConverter.cs                                          | C#        |        -53 |         -1 |         -9 |        -63 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Mac\AkWwiseMenu_Mac.cs                                                | C#        |        -12 |          0 |         -1 |        -13 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Windows\AkWwiseMenu_Windows.cs                                        | C#        |        -12 |          0 |         -1 |        -13 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\AcousticTextureDrawer.cs                                             | C#        |        -13 |          0 |         -2 |        -15 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\AuxBusDrawer.cs                                                      | C#        |         -8 |          0 |         -1 |         -9 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\BankDrawer.cs                                                        | C#        |         -8 |          0 |         -1 |         -9 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\BaseTypeDrawer.cs                                                    | C#        |        -87 |         -8 |        -22 |       -117 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\EventDrawer.cs                                                       | C#        |         -8 |          0 |          0 |         -8 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\RTPCDrawer.cs                                                        | C#        |         -8 |          0 |         -1 |         -9 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\StateDrawer.cs                                                       | C#        |         -8 |          0 |         -1 |         -9 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\SwitchDrawer.cs                                                      | C#        |         -8 |          0 |         -1 |         -9 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\TriggerDrawer.cs                                                     | C#        |         -8 |          0 |         -1 |         -9 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseComponentPicker.cs                                          | C#        |       -146 |        -20 |        -34 |       -200 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwisePicker.cs                                                   | C#        |       -190 |         -5 |        -38 |       -233 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseProjectData.cs                                              | C#        |       -326 |         -1 |        -81 |       -408 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseProjectInfo.cs                                              | C#        |       -116 |         -8 |        -17 |       -141 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeDataSource.cs                                           | C#        |       -238 |         -8 |        -46 |       -292 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeProjectDataSource.cs                                    | C#        |       -242 |         -5 |        -45 |       -292 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeView.cs                                                 | C#        |       -830 |        -12 |       -130 |       -972 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeViewItem.cs                                             | C#        |       -151 |        -10 |        -17 |       -178 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeWAAPIDataSource.cs                                      | C#        |       -621 |        -24 |        -98 |       -743 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseWWUBuilder.cs                                               | C#        |       -817 |        -39 |       -142 |       -998 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseXMLBuilder.cs                                               | C#        |       -158 |         -6 |        -20 |       -184 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\LICENSE.md                                                                             | Markdown  |         -8 |          0 |         -3 |        -11 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\README.md                                                                              | Markdown  |         -6 |          0 |         -6 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\AkSoundEngine.extensions.cs                                                    | C#        |        -76 |         -7 |        -18 |       -101 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AKRESULT.cs                                                   | C#        |        -72 |         -9 |         -2 |        -83 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3DAudioSinkCapabilities.cs                                  | C#        |        -53 |         -9 |        -15 |        -77 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3DPositionType.cs                                           | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3DSpatializationMode.cs                                     | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3dData.cs                                                   | C#        |        -51 |         -9 |        -14 |        -74 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAcousticSurface.cs                                          | C#        |        -48 |         -9 |        -17 |        -74 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkActionOnEventType.cs                                        | C#        |         -9 |         -9 |         -2 |        -20 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAudioDeviceState.cs                                         | C#        |        -10 |         -9 |         -2 |        -21 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAudioFormat.cs                                              | C#        |        -61 |         -9 |        -22 |        -92 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAudioInterruptionCallbackInfo.cs                            | C#        |        -40 |         -9 |        -11 |        -60 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAudioObjectDestination.cs                                   | C#        |         -8 |         -9 |         -2 |        -19 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAudioSettings.cs                                            | C#        |        -42 |         -9 |        -12 |        -63 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAudioSourceChangeCallbackInfo.cs                            | C#        |        -40 |         -9 |        -11 |        -60 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkAuxSendValue.cs                                             | C#        |        -57 |         -9 |        -19 |        -85 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkBankCallbackInfo.cs                                         | C#        |        -44 |         -9 |        -13 |        -66 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkBankContent.cs                                              | C#        |         -6 |         -9 |         -2 |        -17 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkBehavioralPositioningData.cs                                | C#        |        -54 |         -9 |        -18 |        -81 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkBusHierarchyFlags.cs                                        | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkCallbackInfo.cs                                             | C#        |        -42 |         -9 |        -12 |        -63 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkCallbackSerializer.cs                                       | C#        |        -44 |         -9 |        -16 |        -69 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkCallbackType.cs                                             | C#        |        -29 |         -9 |         -2 |        -40 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkChannelConfig.cs                                            | C#        |        -65 |         -9 |        -27 |       -101 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkChannelConfigType.cs                                        | C#        |        -10 |         -9 |         -2 |        -21 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkChannelEmitter.cs                                           | C#        |        -45 |         -9 |        -11 |        -65 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkChannelOrdering.cs                                          | C#        |         -6 |         -9 |         -2 |        -17 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkConnectionType.cs                                           | C#        |         -8 |         -9 |         -2 |        -19 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkCurveInterpolation.cs                                       | C#        |        -15 |         -9 |         -2 |        -26 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkDeviceDescription.cs                                        | C#        |        -49 |         -9 |        -17 |        -75 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkDeviceSettings.cs                                           | C#        |        -63 |         -9 |        -20 |        -92 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkDiffractionPathInfo.cs                                      | C#        |        -64 |         -9 |        -23 |        -96 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkDurationCallbackInfo.cs                                     | C#        |        -40 |         -9 |        -13 |        -62 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkDynamicSequenceItemCallbackInfo.cs                          | C#        |        -36 |         -9 |        -11 |        -56 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkDynamicSequenceType.cs                                      | C#        |         -6 |         -9 |         -2 |        -17 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkEventCallbackInfo.cs                                        | C#        |        -34 |         -9 |        -10 |        -53 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkExtent.cs                                                   | C#        |        -46 |         -9 |        -14 |        -69 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkExternalSourceInfo.cs                                       | C#        |        -59 |         -9 |        -22 |        -90 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkFloorPlane.cs                                               | C#        |         -8 |         -9 |         -2 |        -19 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkGlobalCallbackLocation.cs                                   | C#        |        -18 |         -9 |         -2 |        -29 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkGroupType.cs                                                | C#        |         -6 |         -9 |         -2 |        -17 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkImageSourceParams.cs                                        | C#        |        -52 |         -9 |        -17 |        -78 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkImageSourceSettings.cs                                      | C#        |        -49 |         -9 |        -14 |        -72 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkInitSettings.cs                                             | C#        |        -73 |         -9 |        -25 |       -107 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkInitializationSettings.cs                                   | C#        |        -86 |         -9 |        -19 |       -114 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkIterator.cs                                                 | C#        |        -59 |         -9 |        -16 |        -84 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMIDICcTypes.cs                                              | C#        |       -101 |         -9 |         -2 |       -112 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMIDIEvent.cs                                                | C#        |       -438 |         -9 |       -118 |       -565 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMIDIEventCallbackInfo.cs                                    | C#        |        -58 |         -9 |        -22 |        -89 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMIDIEventTypes.cs                                           | C#        |        -14 |         -9 |         -2 |        -25 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMIDIPost.cs                                                 | C#        |        -93 |         -9 |        -24 |       -126 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMarkerCallbackInfo.cs                                       | C#        |        -36 |         -9 |        -11 |        -56 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMeteringFlags.cs                                            | C#        |        -10 |         -9 |         -2 |        -21 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMonitorErrorCode.cs                                         | C#        |       -113 |         -9 |         -2 |       -124 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMonitorErrorLevel.cs                                        | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMonitoringCallbackInfo.cs                                   | C#        |        -48 |         -9 |        -15 |        -72 |
