"filename", "language", "C#", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossBehaviour.cs", "C#", 4, 2, 1, 7
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossCombatBehaviour.cs", "C#", 43, -3, 4, 44
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineBehaviour.cs", "C#", 9, 0, 2, 11
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineManager.cs", "C#", 4, 0, 0, 4
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MainMenu\MenuButtons.cs", "C#", -93, -4, -9, -106
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MainMenu\SaveFileSlot.cs", "C#", -7, 0, -2, -9
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerHealthflaskBehaviour.cs", "C#", 20, 2, 2, 24
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerMeleeWeaponBehaviour.cs", "C#", 1, 0, 5, 6
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\MainMenu\MenuButtons.cs", "C#", 94, 4, 9, 107
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\MainMenu\SaveFileSlot.cs", "C#", 7, 0, 2, 9
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\Options\AudioSettings.cs", "C#", 12, 2, 5, 19
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\Options\BrightnessSlider.cs", "C#", 6, 0, 3, 9
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\Options\OptionsButtonsBehaviour.cs", "C#", 38, 0, 6, 44
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\PlayerStatSlot.cs", "C#", 26, 2, 7, 35
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Menus\PlayerStatsBehaviour.cs", "C#", 62, 0, 14, 76
"Total", "-", 226, 5, 49, 280
